localfile	test	errors
00000200.tmp	Test3	16
00000200.tmp	Test4	12
00000201.tmp	Test0	0
00000201.tmp	Test1	1
00000201.tmp	Test2	0
00000201.tmp	Test3	1
00000201.tmp	Test4	0
00000202.tmp	Test0	0
00000202.tmp	Test1	5
00000202.tmp	Test2	0
00000202.tmp	Test3	5
00000202.tmp	Test4	0
00000203.tmp	Test0	0
00000203.tmp	Test1	17
00000203.tmp	Test2	11
00000203.tmp	Test3	5
00000203.tmp	Test4	22
00000204.tmp	Test0	0
00000204.tmp	Test1	0
00000204.tmp	Test2	0
00000204.tmp	Test3	0
00000204.tmp	Test4	0
00000205.tmp	Test0	0
00000205.tmp	Test1	1
00000205.tmp	Test2	2
00000205.tmp	Test3	3
00000205.tmp	Test4	4
00000206.tmp	Test0	0
00000206.tmp	Test1	7
00000206.tmp	Test2	5
00000206.tmp	Test3	3
00000206.tmp	Test4	1
00000207.tmp	Test0	0
00000207.tmp	Test1	0
00000207.tmp	Test2	0
00000207.tmp	Test3	0
00000207.tmp	Test4	0
00000208.tmp	Test0	0
00000208.tmp	Test1	2
00000208.tmp	Test2	4
00000208.tmp	Test3	6
00000208.tmp	Test4	8
00000209.tmp	Test0	0
00000209.tmp	Test1	7
00000209.tmp	Test2	14
00000209.tmp	Test3	0
00000209.tmp	Test4	7
00000210.tmp	Test0	0
00000210.tmp	Test1	5
00000210.tmp	Test2	10
00000210.tmp	Test3	3
00000210.tmp	Test4	8
00000211.tmp	Test0	0
00000211.tmp	Test1	0
00000211.tmp	Test2	0
00000211.tmp	Test3	0
00000211.tmp	Test4	0
00000212.tmp	Test0	0
00000212.tmp	Test1	3
00000212.tmp	Test2	6
00000212.tmp	Test3	9
00000212.tmp	Test4	12
00000213.tmp	Test0	0
00000213.tmp	Test1	8
00000213.tmp	Test2	16
00000213.tmp	Test3	3
00000213.tmp	Test4	11
00000214.tmp	Test0	0
00000214.tmp	Test1	12
00000214.tmp	Test2	6
00000214.tmp	Test3	0
00000214.tmp	Test4	12
00000215.tmp	Test0	0
00000215.tmp	Test1	0
00000215.tmp	Test2	0
00000215.tmp	Test3	0
00000215.tmp	Test4	0
00000216.tmp	Test0	0
00000216.tmp	Test1	7
00000216.tmp	Test2	2
00000216.tmp	Test3	9
00000216.tmp	Test4	4
00000217.tmp	Test0	0
00000217.tmp	Test1	1
00000217.tmp	Test2	2
00000217.tmp	Test3	3
00000217.tmp	Test4	4
00000218.tmp	Test0	0
00000218.tmp	Test1	1
00000218.tmp	Test2	2
00000218.tmp	Test3	3
00000218.tmp	Test4	4
00000219.tmp	Test0	0
00000219.tmp	Test1	2
00000219.tmp	Test2	4
00000219.tmp	Test3	6
00000219.tmp	Test4	8
00000220.tmp	Test0	0
00000220.tmp	Test1	1
00000220.tmp	Test2	2
00000220.tmp	Test3	3
00000220.tmp	Test4	4
00000221.tmp	Test0	0
00000221.tmp	Test1	6
00000221.tmp	Test2	12
00000221.tmp	Test3	18
00000221.tmp	Test4	1
00000222.tmp	Test0	0
00000222.tmp	Test1	1
00000222.tmp	Test2	2
00000222.tmp	Test3	3
00000222.tmp	Test4	4
00000223.tmp	Test0	0
00000223.tmp	Test1	3
00000223.tmp	Test2	6
00000223.tmp	Test3	9
00000223.tmp	Test4	0
00000224.tmp	Test0	0
00000224.tmp	Test1	3
00000224.tmp	Test2	0
00000224.tmp	Test3	3
00000224.tmp	Test4	0
00000225.tmp	Test0	0
00000225.tmp	Test1	1
00000225.tmp	Test2	2
00000225.tmp	Test3	3
00000225.tmp	Test4	4
00000226.tmp	Test0	0
00000226.tmp	Test1	3
00000226.tmp	Test2	6
00000226.tmp	Test3	9
00000226.tmp	Test4	0
00000227.tmp	Test0	0
00000227.tmp	Test1	13
00000227.tmp	Test2	2
00000227.tmp	Test3	15
00000227.tmp	Test4	4
00000228.tmp	Test0	0
00000228.tmp	Test1	1
00000228.tmp	Test2	2
00000228.tmp	Test3	0
00000228.tmp	Test4	1
00000229.tmp	Test0	0
00000229.tmp	Test1	8
00000229.tmp	Test2	7
00000229.tmp	Test3	6
00000229.tmp	Test4	5
00000230.tmp	Test0	0
00000230.tmp	Test1	0
00000230.tmp	Test2	0
00000230.tmp	Test3	0
00000230.tmp	Test4	0
00000231.tmp	Test0	0
00000231.tmp	Test1	15
00000231.tmp	Test2	10
00000231.tmp	Test3	5
00000231.tmp	Test4	0
00000232.tmp	Test0	0
00000232.tmp	Test1	7
00000232.tmp	Test2	2
00000232.tmp	Test3	9
00000232.tmp	Test4	4
00000233.tmp	Test0	0
00000233.tmp	Test1	12
00000233.tmp	Test2	5
00000233.tmp	Test3	17
00000233.tmp	Test4	10
00000234.tmp	Test0	0
00000234.tmp	Test1	24
00000234.tmp	Test2	21
00000234.tmp	Test3	18
00000234.tmp	Test4	15
00000235.tmp	Test0	0
00000235.tmp	Test1	17
00000235.tmp	Test2	16
00000235.tmp	Test3	15
00000235.tmp	Test4	14
00000236.tmp	Test0	0
00000236.tmp	Test1	2
00000236.tmp	Test2	1
00000236.tmp	Test3	0
00000236.tmp	Test4	2
00000237.tmp	Test0	0
00000237.tmp	Test1	4
00000237.tmp	Test2	1
00000237.tmp	Test3	5
00000237.tmp	Test4	2
00000238.tmp	Test0	0
00000238.tmp	Test1	16
00000238.tmp	Test2	13
00000238.tmp	Test3	10
00000238.tmp	Test4	7
00000239.tmp	Test0	0
00000239.tmp	Test1	3
00000239.tmp	Test2	6
00000239.tmp	Test3	9
00000239.tmp	Test4	12
00000240.tmp	Test0	0
00000240.tmp	Test1	12
00000240.tmp	Test2	24
00000240.tmp	Test3	8
00000240.tmp	Test4	20
00000241.tmp	Test0	0
00000241.tmp	Test1	13
00000241.tmp	Test2	1
00000241.tmp	Test3	14
00000241.tmp	Test4	2
00000242.tmp	Test0	0
00000242.tmp	Test1	2
00000242.tmp	Test2	0
00000242.tmp	Test3	2
00000242.tmp	Test4	0
00000243.tmp	Test0	0
00000243.tmp	Test1	7
00000243.tmp	Test2	3
00000243.tmp	Test3	10
00000243.tmp	Test4	6
00000244.tmp	Test0	0
00000244.tmp	Test1	9
00000244.tmp	Test2	2
00000244.tmp	Test3	11
00000244.tmp	Test4	4
00000245.tmp	Test0	0
00000245.tmp	Test1	6
00000245.tmp	Test2	0
00000245.tmp	Test3	6
00000245.tmp	Test4	0
00000246.tmp	Test0	0
00000246.tmp	Test1	1
00000246.tmp	Test2	0
00000246.tmp	Test3	1
00000246.tmp	Test4	0
00000247.tmp	Test0	0
00000247.tmp	Test1	20
00000247.tmp	Test2	17
00000247.tmp	Test3	14
00000247.tmp	Test4	11
00000248.tmp	Test0	0
00000248.tmp	Test1	9
00000248.tmp	Test2	6
00000248.tmp	Test3	3
00000248.tmp	Test4	0
00000249.tmp	Test0	0
00000249.tmp	Test1	2
00000249.tmp	Test2	4
00000249.tmp	Test3	1
00000249.tmp	Test4	3
00000250.tmp	Test0	0
00000250.tmp	Test1	23
00000250.tmp	Test2	21
00000250.tmp	Test3	19
00000250.tmp	Test4	17
00000251.tmp	Test0	0
00000251.tmp	Test1	11
00000251.tmp	Test2	0
00000251.tmp	Test3	11
00000251.tmp	Test4	0
00000252.tmp	Test0	0
00000252.tmp	Test1	6
00000252.tmp	Test2	12
00000252.tmp	Test3	4
00000252.tmp	Test4	10
00000253.tmp	Test0	0
00000253.tmp	Test1	0
00000253.tmp	Test2	0
00000253.tmp	Test3	0
00000253.tmp	Test4	0
00000254.tmp	Test0	0
00000254.tmp	Test1	2
00000254.tmp	Test2	4
00000254.tmp	Test3	6
00000254.tmp	Test4	8
00000255.tmp	Test0	0
00000255.tmp	Test1	1
00000255.tmp	Test2	2
00000255.tmp	Test3	3
00000255.tmp	Test4	4
00000256.tmp	Test0	0
00000256.tmp	Test1	25
00000256.tmp	Test2	23
00000256.tmp	Test3	21
00000256.tmp	Test4	19
00000257.tmp	Test0	0
00000257.tmp	Test1	8
00000257.tmp	Test2	16
00000257.tmp	Test3	24
00000257.tmp	Test4	4
00000258.tmp	Test0	0
00000258.tmp	Test1	19
00000258.tmp	Test2	18
00000258.tmp	Test3	17
00000258.tmp	Test4	16
00000259.tmp	Test0	0
00000259.tmp	Test1	23
00000259.tmp	Test2	22
00000259.tmp	Test3	21
00000259.tmp	Test4	20
00000260.tmp	Test0	0
00000260.tmp	Test1	9
00000260.tmp	Test2	3
00000260.tmp	Test3	12
00000260.tmp	Test4	6
00000261.tmp	Test0	0
00000261.tmp	Test1	5
00000261.tmp	Test2	3
00000261.tmp	Test3	1
00000261.tmp	Test4	6
00000262.tmp	Test0	0
00000262.tmp	Test1	0
00000262.tmp	Test2	0
00000262.tmp	Test3	0
00000262.tmp	Test4	0
00000263.tmp	Test0	0
00000263.tmp	Test1	0
00000263.tmp	Test2	0
00000263.tmp	Test3	0
00000263.tmp	Test4	0
00000264.tmp	Test0	0
00000264.tmp	Test1	5
00000264.tmp	Test2	10
00000264.tmp	Test3	15
00000264.tmp	Test4	20
00000265.tmp	Test0	0
00000265.tmp	Test1	3
00000265.tmp	Test2	6
00000265.tmp	Test3	9
00000265.tmp	Test4	2
00000266.tmp	Test0	0
00000266.tmp	Test1	0
00000266.tmp	Test2	0
00000266.tmp	Test3	0
00000266.tmp	Test4	0
00000267.tmp	Test0	0
00000267.tmp	Test1	8
00000267.tmp	Test2	6
00000267.tmp	Test3	4
00000267.tmp	Test4	2
00000268.tmp	Test0	0
00000268.tmp	Test1	14
00000268.tmp	Test2	12
00000268.tmp	Test3	10
00000268.tmp	Test4	8
00000269.tmp	Test0	0
00000269.tmp	Test1	0
00000269.tmp	Test2	0
00000269.tmp	Test3	0
00000269.tmp	Test4	0
00000270.tmp	Test0	0
00000270.tmp	Test1	1
00000270.tmp	Test2	2
00000270.tmp	Test3	3
00000270.tmp	Test4	4
00000271.tmp	Test0	0
00000271.tmp	Test1	17
00000271.tmp	Test2	14
00000271.tmp	Test3	11
00000271.tmp	Test4	8
00000272.tmp	Test0	0
00000272.tmp	Test1	19
00000272.tmp	Test2	12
00000272.tmp	Test3	5
00000272.tmp	Test4	24
00000273.tmp	Test0	0
00000273.tmp	Test1	6
00000273.tmp	Test2	12
00000273.tmp	Test3	18
00000273.tmp	Test4	0
00000274.tmp	Test0	0
00000274.tmp	Test1	20
00000274.tmp	Test2	17
00000274.tmp	Test3	14
00000274.tmp	Test4	11
00000275.tmp	Test0	0
00000275.tmp	Test1	25
00000275.tmp	Test2	22
00000275.tmp	Test3	19
00000275.tmp	Test4	16
00000276.tmp	Test0	0
00000276.tmp	Test1	25
00000276.tmp	Test2	22
00000276.tmp	Test3	19
00000276.tmp	Test4	16
00000277.tmp	Test0	0
00000277.tmp	Test1	14
00000277.tmp	Test2	6
00000277.tmp	Test3	20
00000277.tmp	Test4	12
00000278.tmp	Test0	0
00000278.tmp	Test1	7
00000278.tmp	Test2	6
00000278.tmp	Test3	5
00000278.tmp	Test4	4
00000279.tmp	Test0	0
00000279.tmp	Test1	4
00000279.tmp	Test2	8
00000279.tmp	Test3	0
00000279.tmp	Test4	4
00000280.tmp	Test0	0
00000280.tmp	Test1	0
00000280.tmp	Test2	0
00000280.tmp	Test3	0
00000280.tmp	Test4	0
00000281.tmp	Test0	0
00000281.tmp	Test1	1
00000281.tmp	Test2	2
00000281.tmp	Test3	3
00000281.tmp	Test4	4
00000282.tmp	Test0	0
00000282.tmp	Test1	11
00000282.tmp	Test2	1
00000282.tmp	Test3	12
00000282.tmp	Test4	2
00000283.tmp	Test0	0
00000283.tmp	Test1	9
00000283.tmp	Test2	18
00000283.tmp	Test3	1
00000283.tmp	Test4	10
00000284.tmp	Test0	0
00000284.tmp	Test1	11
00000284.tmp	Test2	22
00000284.tmp	Test3	8
00000284.tmp	Test4	19
00000285.tmp	Test0	0
00000285.tmp	Test1	2
00000285.tmp	Test2	4
00000285.tmp	Test3	6
00000285.tmp	Test4	8
00000286.tmp	Test0	0
00000286.tmp	Test1	2
00000286.tmp	Test2	0
00000286.tmp	Test3	2
00000286.tmp	Test4	0
00000287.tmp	Test0	0
00000287.tmp	Test1	3
00000287.tmp	Test2	2
00000287.tmp	Test3	1
00000287.tmp	Test4	0
00000288.tmp	Test0	0
00000288.tmp	Test1	4
00000288.tmp	Test2	0
00000288.tmp	Test3	4
00000288.tmp	Test4	0
00000289.tmp	Test0	0
00000289.tmp	Test1	3
00000289.tmp	Test2	2
00000289.tmp	Test3	1
00000289.tmp	Test4	0
00000290.tmp	Test0	0
00000290.tmp	Test1	1
00000290.tmp	Test2	2
00000290.tmp	Test3	3
00000290.tmp	Test4	4
00000291.tmp	Test0	0
00000291.tmp	Test1	0
00000291.tmp	Test2	0
00000291.tmp	Test3	0
00000291.tmp	Test4	0
00000292.tmp	Test0	0
00000292.tmp	Test1	7
00000292.tmp	Test2	3
00000292.tmp	Test3	10
00000292.tmp	Test4	6
00000293.tmp	Test0	0
00000293.tmp	Test1	0
00000293.tmp	Test2	0
00000293.tmp	Test3	0
00000293.tmp	Test4	0
00000294.tmp	Test0	0
00000294.tmp	Test1	11
00000294.tmp	Test2	22
00000294.tmp	Test3	8
00000294.tmp	Test4	19
00000295.tmp	Test0	0
00000295.tmp	Test1	19
00000295.tmp	Test2	18
00000295.tmp	Test3	17
00000295.tmp	Test4	16
00000296.tmp	Test0	0
00000296.tmp	Test1	9
00000296.tmp	Test2	18
00000296.tmp	Test3	4
00000296.tmp	Test4	13
00000297.tmp	Test0	0
00000297.tmp	Test1	21
00000297.tmp	Test2	14
00000297.tmp	Test3	7
00000297.tmp	Test4	0
00000298.tmp	Test0	0
00000298.tmp	Test1	2
00000298.tmp	Test2	4
00000298.tmp	Test3	6
00000298.tmp	Test4	1
00000299.tmp	Test0	0
00000299.tmp	Test1	8
00000299.tmp	Test2	1
00000299.tmp	Test3	9
00000299.tmp	Test4	2
00000300.tmp	Test0	0
00000300.tmp	Test1	13
00000300.tmp	Test2	11
00000300.tmp	Test3	9
00000300.tmp	Test4	7
00000301.tmp	Test0	0
00000301.tmp	Test1	1
00000301.tmp	Test2	2
00000301.tmp	Test3	3
00000301.tmp	Test4	4
00000302.tmp	Test0	0
00000302.tmp	Test1	9
00000302.tmp	Test2	18
00000302.tmp	Test3	6
00000302.tmp	Test4	15
00000303.tmp	Test0	0
00000303.tmp	Test1	13
00000303.tmp	Test2	9
00000303.tmp	Test3	5
00000303.tmp	Test4	1
00000304.tmp	Test0	0
00000304.tmp	Test1	3
00000304.tmp	Test2	6
00000304.tmp	Test3	9
00000304.tmp	Test4	12
00000305.tmp	Test0	0
00000305.tmp	Test1	1
00000305.tmp	Test2	2
00000305.tmp	Test3	3
00000305.tmp	Test4	4
00000306.tmp	Test0	0
00000306.tmp	Test1	3
00000306.tmp	Test2	6
00000306.tmp	Test3	9
00000306.tmp	Test4	12
00000307.tmp	Test0	0
00000307.tmp	Test1	2
00000307.tmp	Test2	4
00000307.tmp	Test3	1
00000307.tmp	Test4	3
00000308.tmp	Test0	0
00000308.tmp	Test1	15
00000308.tmp	Test2	5
00000308.tmp	Test3	20
00000308.tmp	Test4	10
00000309.tmp	Test0	0
00000309.tmp	Test1	0
00000309.tmp	Test2	0
00000309.tmp	Test3	0
00000309.tmp	Test4	0
00000310.tmp	Test0	0
00000310.tmp	Test1	14
00000310.tmp	Test2	12
00000310.tmp	Test3	10
00000310.tmp	Test4	8
00000311.tmp	Test0	0
00000311.tmp	Test1	16
00000311.tmp	Test2	8
00000311.tmp	Test3	0
00000311.tmp	Test4	16
00000312.tmp	Test0	0
00000312.tmp	Test1	9
00000312.tmp	Test2	18
00000312.tmp	Test3	8
00000312.tmp	Test4	17
00000313.tmp	Test0	0
00000313.tmp	Test1	15
00000313.tmp	Test2	9
00000313.tmp	Test3	3
00000313.tmp	Test4	18
00000314.tmp	Test0	0
00000314.tmp	Test1	1
00000314.tmp	Test2	2
00000314.tmp	Test3	3
00000314.tmp	Test4	4
00000315.tmp	Test0	0
00000315.tmp	Test1	3
00000315.tmp	Test2	6
00000315.tmp	Test3	9
00000315.tmp	Test4	12
00000316.tmp	Test0	0
00000316.tmp	Test1	1
00000316.tmp	Test2	2
00000316.tmp	Test3	3
00000316.tmp	Test4	4
00000317.tmp	Test0	0
00000317.tmp	Test1	2
00000317.tmp	Test2	4
00000317.tmp	Test3	6
00000317.tmp	Test4	8
00000318.tmp	Test0	0
00000318.tmp	Test1	0
00000318.tmp	Test2	0
00000318.tmp	Test3	0
00000318.tmp	Test4	0
00000319.tmp	Test0	0
00000319.tmp	Test1	27
00000319.tmp	Test2	26
00000319.tmp	Test3	25
00000319.tmp	Test4	24
00000320.tmp	Test0	0
00000320.tmp	Test1	1
00000320.tmp	Test2	2
00000320.tmp	Test3	3
00000320.tmp	Test4	4
00000321.tmp	Test0	0
00000321.tmp	Test1	13
00000321.tmp	Test2	2
00000321.tmp	Test3	15
00000321.tmp	Test4	4
00000322.tmp	Test0	0
00000322.tmp	Test1	8
00000322.tmp	Test2	16
00000322.tmp	Test3	4
00000322.tmp	Test4	12
00000323.tmp	Test0	0
00000323.tmp	Test1	1
00000323.tmp	Test2	2
00000323.tmp	Test3	3
00000323.tmp	Test4	4
00000324.tmp	Test0	0
00000324.tmp	Test1	20
00000324.tmp	Test2	18
00000324.tmp	Test3	16
00000324.tmp	Test4	14
00000325.tmp	Test0	0
00000325.tmp	Test1	17
00000325.tmp	Test2	12
00000325.tmp	Test3	7
00000325.tmp	Test4	2
00000326.tmp	Test0	0
00000326.tmp	Test1	5
00000326.tmp	Test2	10
00000326.tmp	Test3	4
00000326.tmp	Test4	9
00000327.tmp	Test0	0
00000327.tmp	Test1	14
00000327.tmp	Test2	3
00000327.tmp	Test3	17
00000327.tmp	Test4	6
00000328.tmp	Test0	0
00000328.tmp	Test1	20
00000328.tmp	Test2	15
00000328.tmp	Test3	10
00000328.tmp	Test4	5
00000329.tmp	Test0	0
00000329.tmp	Test1	0
00000329.tmp	Test2	0
00000329.tmp	Test3	0
00000329.tmp	Test4	0
00000330.tmp	Test0	0
00000330.tmp	Test1	15
00000330.tmp	Test2	5
00000330.tmp	Test3	20
00000330.tmp	Test4	10
00000331.tmp	Test0	0
00000331.tmp	Test1	4
00000331.tmp	Test2	8
00000331.tmp	Test3	1
00000331.tmp	Test4	5
00000332.tmp	Test0	0
00000332.tmp	Test1	3
00000332.tmp	Test2	6
00000332.tmp	Test3	9
00000332.tmp	Test4	0
00000333.tmp	Test0	0
00000333.tmp	Test1	1
00000333.tmp	Test2	2
00000333.tmp	Test3	3
00000333.tmp	Test4	0
00000334.tmp	Test0	0
00000334.tmp	Test1	2
00000334.tmp	Test2	4
00000334.tmp	Test3	6
00000334.tmp	Test4	8
00000335.tmp	Test0	0
00000335.tmp	Test1	13
00000335.tmp	Test2	11
00000335.tmp	Test3	9
00000335.tmp	Test4	7
00000336.tmp	Test0	0
00000336.tmp	Test1	1
00000336.tmp	Test2	2
00000336.tmp	Test3	3
00000336.tmp	Test4	4
00000337.tmp	Test0	0
00000337.tmp	Test1	9
00000337.tmp	Test2	18
00000337.tmp	Test3	6
00000337.tmp	Test4	15
00000338.tmp	Test0	0
00000338.tmp	Test1	0
00000338.tmp	Test2	0
00000338.tmp	Test3	0
00000338.tmp	Test4	0
00000339.tmp	Test0	0
00000339.tmp	Test1	3
00000339.tmp	Test2	2
00000339.tmp	Test3	1
00000339.tmp	Test4	0
00000340.tmp	Test0	0
00000340.tmp	Test1	1
00000340.tmp	Test2	2
00000340.tmp	Test3	3
00000340.tmp	Test4	4
00000341.tmp	Test0	0
00000341.tmp	Test1	1
00000341.tmp	Test2	0
00000341.tmp	Test3	1
00000341.tmp	Test4	0
00000342.tmp	Test0	0
00000342.tmp	Test1	4
00000342.tmp	Test2	8
00000342.tmp	Test3	3
00000342.tmp	Test4	7
00000343.tmp	Test0	0
00000343.tmp	Test1	3
00000343.tmp	Test2	2
00000343.tmp	Test3	1
00000343.tmp	Test4	0
00000344.tmp	Test0	0
00000344.tmp	Test1	20
00000344.tmp	Test2	19
00000344.tmp	Test3	18
00000344.tmp	Test4	17
00000345.tmp	Test0	0
00000345.tmp	Test1	6
00000345.tmp	Test2	12
00000345.tmp	Test3	0
00000345.tmp	Test4	6
00000346.tmp	Test0	0
00000346.tmp	Test1	1
00000346.tmp	Test2	2
00000346.tmp	Test3	3
00000346.tmp	Test4	4
00000347.tmp	Test0	0
00000347.tmp	Test1	19
00000347.tmp	Test2	10
00000347.tmp	Test3	1
00000347.tmp	Test4	20
00000348.tmp	Test0	0
00000348.tmp	Test1	3
00000348.tmp	Test2	2
00000348.tmp	Test3	1
00000348.tmp	Test4	0
00000349.tmp	Test0	0
00000349.tmp	Test1	12
00000349.tmp	Test2	4
00000349.tmp	Test3	16
00000349.tmp	Test4	8
00000350.tmp	Test0	0
00000350.tmp	Test1	8
00000350.tmp	Test2	0
00000350.tmp	Test3	8
00000350.tmp	Test4	0
00000351.tmp	Test0	0
00000351.tmp	Test1	3
00000351.tmp	Test2	2
00000351.tmp	Test3	1
00000351.tmp	Test4	0
00000352.tmp	Test0	0
00000352.tmp	Test1	11
00000352.tmp	Test2	8
00000352.tmp	Test3	5
00000352.tmp	Test4	2
00000353.tmp	Test0	0
00000353.tmp	Test1	22
00000353.tmp	Test2	17
00000353.tmp	Test3	12
00000353.tmp	Test4	7
00000354.tmp	Test0	0
00000354.tmp	Test1	2
00000354.tmp	Test2	4
00000354.tmp	Test3	6
00000354.tmp	Test4	8
00000355.tmp	Test0	0
00000355.tmp	Test1	7
00000355.tmp	Test2	2
00000355.tmp	Test3	9
00000355.tmp	Test4	4
00000356.tmp	Test0	0
00000356.tmp	Test1	14
00000356.tmp	Test2	13
00000356.tmp	Test3	12
00000356.tmp	Test4	11
00000357.tmp	Test0	0
00000357.tmp	Test1	5
00000357.tmp	Test2	10
00000357.tmp	Test3	15
00000357.tmp	Test4	20
00000358.tmp	Test0	0
00000358.tmp	Test1	0
00000358.tmp	Test2	0
00000358.tmp	Test3	0
00000358.tmp	Test4	0
00000359.tmp	Test0	0
00000359.tmp	Test1	0
00000359.tmp	Test2	0
00000359.tmp	Test3	0
00000359.tmp	Test4	0
00000360.tmp	Test0	0
00000360.tmp	Test1	10
00000360.tmp	Test2	4
00000360.tmp	Test3	14
00000360.tmp	Test4	8
00000361.tmp	Test0	0
00000361.tmp	Test1	0
00000361.tmp	Test2	0
00000361.tmp	Test3	0
00000361.tmp	Test4	0
00000362.tmp	Test0	0
00000362.tmp	Test1	5
00000362.tmp	Test2	1
00000362.tmp	Test3	6
00000362.tmp	Test4	2
00000363.tmp	Test0	0
00000363.tmp	Test1	19
00000363.tmp	Test2	16
00000363.tmp	Test3	13
00000363.tmp	Test4	10
00000364.tmp	Test0	0
00000364.tmp	Test1	0
00000364.tmp	Test2	0
00000364.tmp	Test3	0
00000364.tmp	Test4	0
00000365.tmp	Test0	0
00000365.tmp	Test1	7
00000365.tmp	Test2	14
00000365.tmp	Test3	6
00000365.tmp	Test4	13
00000366.tmp	Test0	0
00000366.tmp	Test1	2
00000366.tmp	Test2	4
00000366.tmp	Test3	1
00000366.tmp	Test4	3
00000367.tmp	Test0	0
00000367.tmp	Test1	14
00000367.tmp	Test2	2
00000367.tmp	Test3	16
00000367.tmp	Test4	4
00000368.tmp	Test0	0
00000368.tmp	Test1	6
00000368.tmp	Test2	12
00000368.tmp	Test3	2
00000368.tmp	Test4	8
00000369.tmp	Test0	0
00000369.tmp	Test1	18
00000369.tmp	Test2	16
00000369.tmp	Test3	14
00000369.tmp	Test4	12
00000370.tmp	Test0	0
00000370.tmp	Test1	4
00000370.tmp	Test2	0
00000370.tmp	Test3	4
00000370.tmp	Test4	0
00000371.tmp	Test0	0
00000371.tmp	Test1	2
00000371.tmp	Test2	4
00000371.tmp	Test3	6
00000371.tmp	Test4	0
00000372.tmp	Test0	0
00000372.tmp	Test1	3
00000372.tmp	Test2	1
00000372.tmp	Test3	4
00000372.tmp	Test4	2
00000373.tmp	Test0	0
00000373.tmp	Test1	7
00000373.tmp	Test2	14
00000373.tmp	Test3	21
00000373.tmp	Test4	4
00000374.tmp	Test0	0
00000374.tmp	Test1	0
00000374.tmp	Test2	0
00000374.tmp	Test3	0
00000374.tmp	Test4	0
00000375.tmp	Test0	0
00000375.tmp	Test1	0
00000375.tmp	Test2	0
00000375.tmp	Test3	0
00000375.tmp	Test4	0
00000376.tmp	Test0	0
00000376.tmp	Test1	1
00000376.tmp	Test2	2
00000376.tmp	Test3	0
00000376.tmp	Test4	1
00000377.tmp	Test0	0
00000377.tmp	Test1	0
00000377.tmp	Test2	0
00000377.tmp	Test3	0
00000377.tmp	Test4	0
00000378.tmp	Test0	0
00000378.tmp	Test1	5
00000378.tmp	Test2	3
00000378.tmp	Test3	1
00000378.tmp	Test4	6
00000379.tmp	Test0	0
00000379.tmp	Test1	2
00000379.tmp	Test2	4
00000379.tmp	Test3	6
00000379.tmp	Test4	0
00000380.tmp	Test0	0
00000380.tmp	Test1	13
00000380.tmp	Test2	11
00000380.tmp	Test3	9
00000380.tmp	Test4	7
00000381.tmp	Test0	0
00000381.tmp	Test1	11
00000381.tmp	Test2	2
00000381.tmp	Test3	13
00000381.tmp	Test4	4
00000382.tmp	Test0	0
00000382.tmp	Test1	0
00000382.tmp	Test2	0
00000382.tmp	Test3	0
00000382.tmp	Test4	0
00000383.tmp	Test0	0
00000383.tmp	Test1	1
00000383.tmp	Test2	2
00000383.tmp	Test3	0
00000383.tmp	Test4	1
00000384.tmp	Test0	0
00000384.tmp	Test1	16
00000384.tmp	Test2	6
00000384.tmp	Test3	22
00000384.tmp	Test4	12
00000385.tmp	Test0	0
00000385.tmp	Test1	6
00000385.tmp	Test2	12
00000385.tmp	Test3	18
00000385.tmp	Test4	1
00000386.tmp	Test0	0
00000386.tmp	Test1	14
00000386.tmp	Test2	13
00000386.tmp	Test3	12
00000386.tmp	Test4	11
00000387.tmp	Test0	0
00000387.tmp	Test1	14
00000387.tmp	Test2	3
00000387.tmp	Test3	17
00000387.tmp	Test4	6
00000388.tmp	Test0	0
00000388.tmp	Test1	3
00000388.tmp	Test2	6
00000388.tmp	Test3	9
00000388.tmp	Test4	12
00000389.tmp	Test0	0
00000389.tmp	Test1	7
00000389.tmp	Test2	14
00000389.tmp	Test3	0
00000389.tmp	Test4	7
00000390.tmp	Test0	0
00000390.tmp	Test1	15
00000390.tmp	Test2	4
00000390.tmp	Test3	19
00000390.tmp	Test4	8
00000391.tmp	Test0	0
00000391.tmp	Test1	1
00000391.tmp	Test2	2
00000391.tmp	Test3	3
00000391.tmp	Test4	4
00000392.tmp	Test0	0
00000392.tmp	Test1	0
00000392.tmp	Test2	0
00000392.tmp	Test3	0
00000392.tmp	Test4	0
00000393.tmp	Test0	0
00000393.tmp	Test1	6
00000393.tmp	Test2	5
00000393.tmp	Test3	4
00000393.tmp	Test4	3
00000394.tmp	Test0	0
00000394.tmp	Test1	3
00000394.tmp	Test2	6
00000394.tmp	Test3	9
00000394.tmp	Test4	12
00000395.tmp	Test0	0
00000395.tmp	Test1	2
00000395.tmp	Test2	1
00000395.tmp	Test3	0
00000395.tmp	Test4	2
00000396.tmp	Test0	0
00000396.tmp	Test1	7
00000396.tmp	Test2	14
00000396.tmp	Test3	3
00000396.tmp	Test4	10
00000397.tmp	Test0	0
00000397.tmp	Test1	13
00000397.tmp	Test2	26
00000397.tmp	Test3	12
00000397.tmp	Test4	25
00000398.tmp	Test0	0
00000398.tmp	Test1	0
00000398.tmp	Test2	0
00000398.tmp	Test3	0
00000398.tmp	Test4	0
00000399.tmp	Test0	0
00000399.tmp	Test1	4
00000399.tmp	Test2	8
00000399.tmp	Test3	1
00000399.tmp	Test4	5
00000400.tmp	Test0	0
00000400.tmp	Test1	1
