localfile	url	serverversion	size	downloaddate	lastmoddate
00000269.tmp	http://www.domain1.tl0/page8.html	SomeServer/2.0	8876	2008-02-01	2007-12-02
00000270.tmp	http://www.domain1.tl0/page9.html	SomeServer/2.0	4951	2008-02-01	2008-01-10
00000271.tmp	http://www.domain2.tl0/page0.html	SuperServer/3.0	8277	2008-02-01	2007-12-20
00000272.tmp	http://www.domain2.tl0/page1.html	SuperServer/3.0	7247	2008-02-01	2008-01-26
00000273.tmp	http://www.domain2.tl0/page2.html	SuperServer/3.0	14550	2008-02-01	2008-01-24
00000274.tmp	http://www.domain2.tl0/page3.html	SuperServer/3.0	13843	2008-02-01	2008-01-23
00000275.tmp	http://www.domain2.tl0/page4.html	SuperServer/3.0	10581	2008-02-01	2007-12-28
00000276.tmp	http://www.domain2.tl0/page5.html	SuperServer/3.0	8677	2008-02-01	2008-01-28
00000277.tmp	http://www.domain2.tl0/page6.html	SuperServer/3.0	10574	2008-02-01	2008-01-22
00000278.tmp	http://www.domain2.tl0/page7.html	SuperServer/3.0	12919	2008-02-01	2007-12-08
00000279.tmp	http://www.domain2.tl0/page8.html	SuperServer/3.0	9688	2008-02-01	2008-01-12
00000280.tmp	http://www.domain2.tl0/page9.html	SuperServer/3.0	4112	2008-02-01	2007-12-16
00000281.tmp	http://www.domain3.tl0/page0.html	SomeServer/1.0	8029	2008-02-01	2008-01-06
00000282.tmp	http://www.domain3.tl0/page1.html	SomeServer/1.0	13304	2008-02-01	2007-12-21
00000283.tmp	http://www.domain3.tl0/page2.html	SomeServer/1.0	8485	2008-02-01	2008-01-26
00000284.tmp	http://www.domain3.tl0/page3.html	SomeServer/1.0	936	2008-02-01	2007-12-25
00000285.tmp	http://www.domain3.tl0/page4.html	SomeServer/1.0	3077	2008-02-01	2007-12-15
00000286.tmp	http://www.domain3.tl0/page5.html	SomeServer/1.0	846	2008-02-01	2008-01-04
00000287.tmp	http://www.domain3.tl0/page6.html	SomeServer/1.0	4059	2008-02-01	2008-01-04
00000288.tmp	http://www.domain3.tl0/page7.html	SomeServer/1.0	516	2008-02-01	2007-12-08
00000289.tmp	http://www.domain3.tl0/page8.html	SomeServer/1.0	7943	2008-02-01	2008-01-04
00000290.tmp	http://www.domain3.tl0/page9.html	SomeServer/1.0	11977	2008-02-01	2007-12-24
00000291.tmp	http://www.domain4.tl0/page0.html	SomeServer/2.0	9684	2008-02-01	2008-01-06
00000292.tmp	http://www.domain4.tl0/page1.html	SomeServer/2.0	425	2008-02-01	2008-01-11
00000293.tmp	http://www.domain4.tl0/page2.html	SomeServer/2.0	10683	2008-02-01	2008-01-09
00000294.tmp	http://www.domain4.tl0/page3.html	SomeServer/2.0	9011	2008-02-01	2008-01-25
00000295.tmp	http://www.domain4.tl0/page4.html	SomeServer/2.0	6439	2008-02-01	2008-01-20
00000296.tmp	http://www.domain4.tl0/page5.html	SomeServer/2.0	14177	2008-02-01	2008-01-23
00000297.tmp	http://www.domain4.tl0/page6.html	SomeServer/2.0	12229	2008-02-01	2008-01-28
00000298.tmp	http://www.domain4.tl0/page7.html	SomeServer/2.0	6372	2008-02-01	2007-12-07
00000299.tmp	http://www.domain4.tl0/page8.html	SomeServer/2.0	13508	2008-02-01	2007-12-15
00000300.tmp	http://www.domain4.tl0/page9.html	SomeServer/2.0	11578	2008-02-01	2008-01-15
00000301.tmp	http://www.domain0.tl1/page0.html	SomeServer/1.0	366	2008-02-01	2007-12-05
00000302.tmp	http://www.domain0.tl1/page1.html	SomeServer/1.0	2487	2008-02-01	2007-12-21
00000303.tmp	http://www.domain0.tl1/page2.html	SomeServer/1.0	11964	2008-02-01	2008-01-17
00000304.tmp	http://www.domain0.tl1/page3.html	SomeServer/1.0	11988	2008-02-01	2007-12-15
00000305.tmp	http://www.domain0.tl1/page4.html	SomeServer/1.0	6931	2008-02-01	2008-01-07
00000306.tmp	http://www.domain0.tl1/page5.html	SomeServer/1.0	4886	2008-02-01	2007-12-19
00000307.tmp	http://www.domain0.tl1/page6.html	SomeServer/1.0	182	2008-02-01	2008-01-05
00000308.tmp	http://www.domain0.tl1/page7.html	SomeServer/1.0	4665	2008-02-01	2007-12-25
00000309.tmp	http://www.domain0.tl1/page8.html	SomeServer/1.0	11228	2008-02-01	2008-01-28
00000310.tmp	http://www.domain0.tl1/page9.html	SomeServer/1.0	8622	2008-02-01	2008-01-16
00000311.tmp	http://www.domain1.tl1/page0.html	SomeServer/2.0	8176	2008-02-01	2008-01-24
00000312.tmp	http://www.domain1.tl1/page1.html	SomeServer/2.0	6184	2008-02-01	2008-01-19
00000313.tmp	http://www.domain1.tl1/page2.html	SomeServer/2.0	14610	2008-02-01	2007-12-21
00000314.tmp	http://www.domain1.tl1/page3.html	SomeServer/2.0	5732	2008-02-01	2007-12-11
00000315.tmp	http://www.domain1.tl1/page4.html	SomeServer/2.0	8835	2008-02-01	2008-01-16
00000316.tmp	http://www.domain1.tl1/page5.html	SomeServer/2.0	2528	2008-02-01	2008-01-19
00000317.tmp	http://www.domain1.tl1/page6.html	SomeServer/2.0	11069	2008-02-01	2008-01-17
00000318.tmp	http://www.domain1.tl1/page7.html	SomeServer/2.0	13506	2008-02-01	2007-12-02
00000319.tmp	http://www.domain1.tl1/page8.html	SomeServer/2.0	4983	2008-02-01	2007-12-28
00000320.tmp	http://www.domain1.tl1/page9.html	SomeServer/2.0	13441	2008-02-01	2008-01-20
00000321.tmp	http://www.domain2.tl1/page0.html	SuperServer/3.0	13885	2008-02-01	2008-01-24
00000322.tmp	http://www.domain2.tl1/page1.html	SuperServer/3.0	13248	2008-02-01	2007-12-20
00000323.tmp	http://www.domain2.tl1/page2.html	SuperServer/3.0	14785	2008-02-01	2007-12-08
00000324.tmp	http://www.domain2.tl1/page3.html	SuperServer/3.0	5652	2008-02-01	2008-01-22
00000325.tmp	http://www.domain2.tl1/page4.html	SuperServer/3.0	3273	2008-02-01	2007-12-22
00000326.tmp	http://www.domain2.tl1/page5.html	SuperServer/3.0	12633	2008-02-01	2007-12-11
00000327.tmp	http://www.domain2.tl1/page6.html	SuperServer/3.0	4439	2008-02-01	2007-12-25
00000328.tmp	http://www.domain2.tl1/page7.html	SuperServer/3.0	14320	2008-02-01	2007-12-25
00000329.tmp	http://www.domain2.tl1/page8.html	SuperServer/3.0	8312	2008-02-01	2007-12-04
00000330.tmp	http://www.domain2.tl1/page9.html	SuperServer/3.0	1190	2008-02-01	2007-12-25
00000331.tmp	http://www.domain3.tl1/page0.html	SomeServer/1.0	12445	2008-02-01	2007-12-11
00000332.tmp	http://www.domain3.tl1/page1.html	SomeServer/1.0	11751	2008-02-01	2007-12-12
00000333.tmp	http://www.domain3.tl1/page2.html	SomeServer/1.0	3433	2008-02-01	2007-12-04
00000334.tmp	http://www.domain3.tl1/page3.html	SomeServer/1.0	8885	2008-02-01	2008-01-09
00000335.tmp	http://www.domain3.tl1/page4.html	SomeServer/1.0	3943	2008-02-01	2008-01-15
00000336.tmp	http://www.domain3.tl1/page5.html	SomeServer/1.0	10401	2008-02-01	2008-01-13
00000337.tmp	http://www.domain3.tl1/page6.html	SomeServer/1.0	7338	2008-02-01	2008-01-21
00000338.tmp	http://www.domain3.tl1/page7.html	SomeServer/1.0	696	2008-02-01	2007-12-08
00000339.tmp	http://www.domain3.tl1/page8.html	SomeServer/1.0	10771	2008-02-01	2008-01-04
00000340.tmp	http://www.domain3.tl1/page9.html	SomeServer/1.0	3697	2008-02-01	2007-12-22
00000341.tmp	http://www.domain4.tl1/page0.html	SomeServer/2.0	3515	2008-02-01	2008-01-02
00000342.tmp	http://www.domain4.tl1/page1.html	SomeServer/2.0	13648	2008-02-01	2007-12-09
00000343.tmp	http://www.domain4.tl1/page2.html	SomeServer/2.0	7207	2008-02-01	2007-12-04
00000344.tmp	http://www.domain4.tl1/page3.html	SomeServer/2.0	6047	2008-02-01	2008-01-21
00000345.tmp	http://www.domain4.tl1/page4.html	SomeServer/2.0	1428	2008-02-01	2008-01-18
00000346.tmp	http://www.domain4.tl1/page5.html	SomeServer/2.0	8289	2008-02-01	2008-01-16
00000347.tmp	http://www.domain4.tl1/page6.html	SomeServer/2.0	14551	2008-02-01	2007-12-28
00000348.tmp	http://www.domain4.tl1/page7.html	SomeServer/2.0	14547	2008-02-01	2008-01-04
00000349.tmp	http://www.domain4.tl1/page8.html	SomeServer/2.0	6352	2008-02-01	2008-01-20
00000350.tmp	http://www.domain4.tl1/page9.html	SomeServer/2.0	3960	2008-02-01	2007-12-16
00000351.tmp	http://www.domain0.tl2/page0.html	SomeServer/1.0	3771	2008-02-01	2007-12-04
00000352.tmp	http://www.domain0.tl2/page1.html	SomeServer/1.0	14753	2008-02-01	2007-12-14
00000353.tmp	http://www.domain0.tl2/page2.html	SomeServer/1.0	9688	2008-02-01	2007-12-27
00000354.tmp	http://www.domain0.tl2/page3.html	SomeServer/1.0	12882	2008-02-01	2008-01-23
00000355.tmp	http://www.domain0.tl2/page4.html	SomeServer/1.0	1399	2008-02-01	2008-01-12
00000356.tmp	http://www.domain0.tl2/page5.html	SomeServer/1.0	4484	2008-02-01	2008-01-15
00000357.tmp	http://www.domain0.tl2/page6.html	SomeServer/1.0	1830	2008-02-01	2008-01-25
00000358.tmp	http://www.domain0.tl2/page7.html	SomeServer/1.0	3732	2008-02-01	2007-12-03
00000359.tmp	http://www.domain0.tl2/page8.html	SomeServer/1.0	1156	2008-02-01	2007-12-04
00000360.tmp	http://www.domain0.tl2/page9.html	SomeServer/1.0	3098	2008-02-01	2008-01-16
00000361.tmp	http://www.domain1.tl2/page0.html	SomeServer/2.0	12954	2008-02-01	2007-12-06
00000362.tmp	http://www.domain1.tl2/page1.html	SomeServer/2.0	14882	2008-02-01	2008-01-09
00000363.tmp	http://www.domain1.tl2/page2.html	SomeServer/2.0	2681	2008-02-01	2007-12-22
00000364.tmp	http://www.domain1.tl2/page3.html	SomeServer/2.0	8218	2008-02-01	2008-01-07
00000365.tmp	http://www.domain1.tl2/page4.html	SomeServer/2.0	5122	2008-02-01	2008-01-15
00000366.tmp	http://www.domain1.tl2/page5.html	SomeServer/2.0	13417	2008-02-01	2007-12-05
00000367.tmp	http://www.domain1.tl2/page6.html	SomeServer/2.0	9894	2008-02-01	2008-01-26
00000368.tmp	http://www.domain1.tl2/page7.html	SomeServer/2.0	4086	2008-02-01	2008-01-16
00000369.tmp	http://www.domain1.tl2/page8.html	SomeServer/2.0	11218	2008-02-01	2007-12-20
00000370.tmp	http://www.domain1.tl2/page9.html	SomeServer/2.0	12652	2008-02-01	2008-01-08
00000371.tmp	http://www.domain2.tl2/page0.html	SuperServer/3.0	10050	2008-02-01	2007-12-08
00000372.tmp	http://www.domain2.tl2/page1.html	SuperServer/3.0	6233	2008-02-01	2008-01-05
00000373.tmp	http://www.domain2.tl2/page2.html	SuperServer/3.0	8167	2008-02-01	2007-12-24
00000374.tmp	http://www.domain2.tl2/page3.html	SuperServer/3.0	9018	2008-02-01	2008-01-27
00000375.tmp	http://www.domain2.tl2/page4.html	SuperServer/3.0	9174	2008-02-01	2008-01-06
00000376.tmp	http://www.domain2.tl2/page5.html	SuperServer/3.0	8602	2008-02-01	2007-12-03
00000377.tmp	http://www.domain2.tl2/page6.html	SuperServer/3.0	2160	2008-02-01	2007-12-05
00000378.tmp	http://www.domain2.tl2/page7.html	SuperServer/3.0	4079	2008-02-01	2008-01-07
00000379.tmp	http://www.domain2.tl2/page8.html	SuperServer/3.0	9226	2008-02-01	2007-12-08
00000380.tmp	http://www.domain2.tl2/page9.html	SuperServer/3.0	7978	2008-02-01	2007-12-15
00000381.tmp	http://www.domain3.tl2/page0.html	SomeServer/1.0	6631	2008-02-01	2007-12-20
00000382.tmp	http://www.domain3.tl2/page1.html	SomeServer/1.0	2800	2008-02-01	2008-01-25
00000383.tmp	http://www.domain3.tl2/page2.html	SomeServer/1.0	8068	2008-02-01	2008-01-03
00000384.tmp	http://www.domain3.tl2/page3.html	SomeServer/1.0	13614	2008-02-01	2007-12-26
00000385.tmp	http://www.domain3.tl2/page4.html	SomeServer/1.0	9712	2008-02-01	2008-01-23
00000386.tmp	http://www.domain3.tl2/page5.html	SomeServer/1.0	4799	2008-02-01	2008-01-15
00000387.tmp	http://www.domain3.tl2/page6.html	SomeServer/1.0	11514	2008-02-01	2007-12-25
00000388.tmp	http://www.domain3.tl2/page7.html	SomeServer/1.0	10419	2008-02-01	2007-12-24
00000389.tmp	http://www.domain3.tl2/page8.html	SomeServer/1.0	10549	2008-02-01	2007-12-21
00000390.tmp	http://www.domain3.tl2/page9.html	SomeServer/1.0	12859	2008-02-01	2007-12-26
00000391.tmp	http://www.domain4.tl2/page0.html	SomeServer/2.0	8611	2008-02-01	2007-12-06
00000392.tmp	http://www.domain4.tl2/page1.html	SomeServer/2.0	10574	2008-02-01	2008-01-17
00000393.tmp	http://www.domain4.tl2/page2.html	SomeServer/2.0	3471	2008-02-01	2008-01-07
00000394.tmp	http://www.domain4.tl2/page3.html	SomeServer/2.0	13276	2008-02-01	2008-01-13
00000395.tmp	http://www.domain4.tl2/page4.html	SomeServer/2.0	10976	2008-02-01	2007-12-03
00000396.tmp	http://www.domain4.tl2/page5.html	SomeServer/2.0	12139	2008-02-01	2007-12-18
00000397.tmp	http://www.domain4.tl2/page6.html	SomeServer/2.0	13702	2008-02-01	2007-12-27
00000398.tmp	http://www.domain4.tl2/page7.html	SomeServer/2.0	1360	2008-02-01	2008-01-08
00000399.tmp	http://www.domain4.tl2/page8.html	SomeServer/2.0	14777	2008-02-01	2008-01-11
00000400.tmp	http://www.domain4.tl2/page9.html	SomeServer/2.0	7825	2008-02-01	2008-01-02
00000401.tmp	http://www.domain0.tl3/page0.html	SomeServer/1.0	6550	2008-02-01	2007-12-06
00000402.tmp	http://www.domain0.tl3/page1.html	SomeServer/1.0	1982	2008-02-01	2007-12-26
00000403.tmp	http://www.domain0.tl3/page2.html	SomeServer/1.0	1876	2008-02-01	2007-12-18
00000404.tmp	http://www.domain0.tl3/page3.html	SomeServer/1.0	10250	2008-02-01	2008-01-03
00000405.tmp	http://www.domain0.tl3/page4.html	SomeServer/1.0	11269	2008-02-01	2007-12-02
00000406.tmp	http://www.domain0.tl3/page5.html	SomeServer/1.0	1637	2008-02-01	2008-01-10
00000407.tmp	http://www.domain0.tl3/page6.html	SomeServer/1.0	9124	2008-02-01	2007-12-24
00000408.tmp	http://www.domain0.tl3/page7.html	SomeServer/1.0	4343	2008-02-01	2007-12-16
00000409.tmp	http://www.domain0.tl3/page8.html	SomeServer/1.0	8828	2008-02-01	2007-12-08
00000410.tmp	http://www.domain0.tl3/page9.html	SomeServer/1.0	11888	2008-02-01	2007-12-23
00000411.tmp	http://www.domain1.tl3/page0.html	SomeServer/2.0	8226	2008-02-01	2007-12-15
00000412.tmp	http://www.domain1.tl3/page1.html	SomeServer/2.0	9612	2008-02-01	2008-01-08
00000413.tmp	http://www.domain1.tl3/page2.html	SomeServer/2.0	4177	2008-02-01	2008-01-15
00000414.tmp	http://www.domain1.tl3/page3.html	SomeServer/2.0	1859	2008-02-01	2007-12-22
00000415.tmp	http://www.domain1.tl3/page4.html	SomeServer/2.0	5350	2008-02-01	2008-01-23
00000416.tmp	http://www.domain1.tl3/page5.html	SomeServer/2.0	12666	2008-02-01	2008-01-18
00000417.tmp	http://www.domain1.tl3/page6.html	SomeServer/2.0	6137	2008-02-01	2008-01-20
00000418.tmp	http://www.domain1.tl3/page7.html	SomeServer/2.0	7963	2008-02-01	2008-01-17
00000419.tmp	http://www.domain1.tl3/page8.html	SomeServer/2.0	5967	2008-02-01	2008-01-26
00000420.tmp	http://www.domain1.tl3/page9.html	SomeServer/2.0	8282	2008-02-01	2008-01-03
00000421.tmp	http://www.domain2.tl3/page0.html	SuperServer/3.0	2709	2008-02-01	2008-01-07
00000422.tmp	http://www.domain2.tl3/page1.html	SuperServer/3.0	157	2008-02-01	2007-12-09
00000423.tmp	http://www.domain2.tl3/page2.html	SuperServer/3.0	3831	2008-02-01	2008-01-09
00000424.tmp	http://www.domain2.tl3/page3.html	SuperServer/3.0	7151	2008-02-01	2008-01-12
00000425.tmp	http://www.domain2.tl3/page4.html	SuperServer/3.0	6193	2008-02-01	2007-12-22
00000426.tmp	http://www.domain2.tl3/page5.html	SuperServer/3.0	4649	2008-02-01	2007-12-06
00000427.tmp	http://www.domain2.tl3/page6.html	SuperServer/3.0	8209	2008-02-01	2008-01-16
00000428.tmp	http://www.domain2.tl3/page7.html	SuperServer/3.0	10875	2008-02-01	2008-01-20
00000429.tmp	http://www.domain2.tl3/page8.html	SuperServer/3.0	12933	2008-02-01	2007-12-17
00000430.tmp	http://www.domain2.tl3/page9.html	SuperServer/3.0	13479	2008-02-01	2007-12-22
00000431.tmp	http://www.domain3.tl3/page0.html	SomeServer/1.0	2421	2008-02-01	2008-01-26
00000432.tmp	http://www.domain3.tl3/page1.html	SomeServer/1.0	9482	2008-02-01	2007-12-12
00000433.tmp	http://www.domain3.tl3/page2.html	SomeServer/1.0	3322	2008-02-01	2008-01-24
00000434.tmp	http://www.domain3.tl3/page3.html	SomeServer/1.0	5098	2008-02-01	2008-01-25
00000435.tmp	http://www.domain3.tl3/page4.html	SomeServer/1.0	9121	2008-02-01	2007-12-11
00000436.tmp	http://www.domain3.tl3/page5.html	SomeServer/1.0	5788	2008-02-01	2008-01-13
00000437.tmp	http://www.domain3.tl3/page6.html	SomeServer/1.0	2365	2008-02-01	2007-12-24
00000438.tmp	http://www.domain3.tl3/page7.html	SomeServer/1.0	4119	2008-02-01	2008-01-20
00000439.tmp	http://www.domain3.tl3/page8.html	SomeServer/1.0	9095	2008-02-01	2008-01-02
00000440.tmp	http://www.domain3.tl3/page9.html	SomeServer/1.0	13804	2008-02-01	2008-01-19
00000441.tmp	http://www.domain4.tl3/page0.html	SomeServer/2.0	14198	2008-02-01	2007-12-20
00000442.tmp	http://www.domain4.tl3/page1.html	SomeServer/2.0	13254	2008-02-01	2008-01-14
00000443.tmp	http://www.domain4.tl3/page2.html	SomeServer/2.0	9019	2008-02-01	2008-01-13
00000444.tmp	http://www.domain4.tl3/page3.html	SomeServer/2.0	6186	2008-02-01	2008-01-18
00000445.tmp	http://www.domain4.tl3/page4.html	SomeServer/2.0	5586	2008-02-01	2007-12-15
00000446.tmp	http://www.domain4.tl3/page5.html	SomeServer/2.0	2611	2008-02-01	2007-12-19
00000447.tmp	http://www.domain4.tl3/page6.html	SomeServer/2.0	12244	2008-02-01	2007-12-09
00000448.tmp	http://www.domain4.tl3/page7.html	SomeServer/2.0	108	2008-02-01	2008-01-03
00000449.tmp	http://www.domain4.tl3/page8.html	SomeServer/2.0	11868	2008-02-01	2007-12-25
00000450.tmp	http://www.domain4.tl3/page9.html	SomeServer/2.0	3412	2008-02-01	2007-12-28
00000451.tmp	http://www.domain0.tl4/page0.html	SomeServer/1.0	5409	2008-02-01	2008-01-09
00000452.tmp	http://www.domain0.tl4/page1.html	SomeServer/1.0	13645	2008-02-01	2008-01-19
00000453.tmp	http://www.domain0.tl4/page2.html	SomeServer/1.0	12314	2008-02-01	2008-01-08
00000454.tmp	http://www.domain0.tl4/page3.html	SomeServer/1.0	3673	2008-02-01	2008-01-17
00000455.tmp	http://www.domain0.tl4/page4.html	SomeServer/1.0	6709	2008-02-01	2007-12-26
00000456.tmp	http://www.domain0.tl4/page5.html	SomeServer/1.0	9133	2008-02-01	2007-12-09
00000457.tmp	http://www.domain0.tl4/page6.html	SomeServer/1.0	13754	2008-02-01	2008-01-10
00000458.tmp	http://www.domain0.tl4/page7.html	SomeServer/1.0	5259	2008-02-01	2008-01-19
00000459.tmp	http://www.domain0.tl4/page8.html	SomeServer/1.0	11604	2008-02-01	2008-01-03
00000460.tmp	http://www.domain0.tl4/page9.html	SomeServer/1.0	1685	2008-02-01	2007-12-12
00000461.tmp	http://www.domain1.tl4/page0.html	SomeServer/2.0	1589	2008-02-01	2007-12-07
00000462.tmp	http://www.domain1.tl4/page1.html	SomeServer/2.0	9003	2008-02-01	2007-12-25
00000463.tmp	http://www.domain1.tl4/page2.html	SomeServer/2.0	6671	2008-02-01	2008-01-20
00000464.tmp	http://www.domain1.tl4/page3.html	SomeServer/2.0	7833	2008-02-01	2008-01-03
00000465.tmp	http://www.domain1.tl4/page4.html	SomeServer/2.0	13382	2008-02-01	2008-01-06
00000466.tmp	http://www.domain1.tl4/page5.html	SomeServer/2.0	7363	2008-02-01	2008-01-11
00000467.tmp	http://www.domain1.tl4/page6.html	SomeServer/2.0	14631	2008-02-01	2008-01-02
00000468.tmp	http://www.domain1.tl4/page7.html	SomeServer/2.0	5810	2008-02-01	2008-01-24
00000469.tmp	http://www.domain1.tl4/page8.html	SomeServer/2.0	3257	2008-02-01	2007-12-21
00000470.tmp	http://www.domain1.tl4/page9.html	SomeServer/2.0	1585	2008-02-01	2008-01-11
00000471.tmp	http://www.domain2.tl4/page0.html	SuperServer/3.0	9884	2008-02-01	2008-01-23
00000472.tmp	http://www.domain2.tl4/page1.html	SuperServer/3.0	4861	2008-02-01	2007-12-12
00000473.tmp	http://www.domain2.tl4/page2.html	SuperServer/3.0	13791	2008-02-01	2007-12-12
00000474.tmp	http://www.domain2.tl4/page3.html	SuperServer/3.0	11403	2008-02-01	2007-12-06
00000475.tmp	http://www.domain2.tl4/page4.html	SuperServer/3.0	10877	2008-02-01	2008-01-07
00000476.tmp	http://www.domain2.tl4/page5.html	SuperServer/3.0	951	2008-02-01	2007-12-12
00000477.tmp	http://www.domain2.tl4/page6.html	SuperServer/3.0	8614	2008-02-01	2008-01-27
00000478.tmp	http://www.domain2.tl4/page7.html	SuperServer/3.0	2333	2008-02-01	2008-01-12
00000479.tmp	http://www.domain2.tl4/page8.html	SuperServer/3.0	737	2008-02-01	2007-12-09
00000480.tmp	http://www.domain2.tl4/page9.html	SuperServer/3.0	1456	2008-02-01	2007-12-02
00000481.tmp	http://www.domain3.tl4/page0.html	SomeServer/1.0	11195	2008-02-01	2007-12-20
00000482.tmp	http://www.domain3.tl4/page1.html	SomeServer/1.0	9979	2008-02-01	2007-12-12
00000483.tmp	http://www.domain3.tl4/page2.html	SomeServer/1.0	10042	2008-02-01	2008-01-23
00000484.tmp	http://www.domain3.tl4/page3.html	SomeServer/1.0	996	2008-02-01	2007-12-27
00000485.tmp	http://www.domain3.tl4/page4.html	SomeServer/1.0	5309	2008-02-01	2007-12-18
00000486.tmp	http://www.domain3.tl4/page5.html	SomeServer/1.0	12408	2008-02-01	2008-01-27
00000487.tmp	http://www.domain3.tl4/page6.html	SomeServer/1.0	6248	2008-02-01	2007-12-07
00000488.tmp	http://www.domain3.tl4/page7.html	SomeServer/1.0	6419	2008-02-01	2007-12-19
00000489.tmp	http://www.domain3.tl4/page8.html	SomeServer/1.0	11068	2008-02-01	2008-01-26
00000490.tmp	http://www.domain3.tl4/page9.html	SomeServer/1.0	5923	2008-02-01	2008-01-02
00000491.tmp	http://www.domain4.tl4/page0.html	SomeServer/2.0	14735	2008-02-01	2008-01-26
00000492.tmp	http://www.domain4.tl4/page1.html	SomeServer/2.0	5203	2008-02-01	2008-01-08
00000493.tmp	http://www.domain4.tl4/page2.html	SomeServer/2.0	14038	2008-02-01	2008-01-27
00000494.tmp	http://www.domain4.tl4/page3.html	SomeServer/2.0	697	2008-02-01	2007-12-16
00000495.tmp	http://www.domain4.tl4/page4.html	SomeServer/2.0	7745	2008-02-01	2008-01-13
00000496.tmp	http://www.domain4.tl4/page5.html	SomeServer/2.0	14044	2008-02-01	2008-01-21
00000497.tmp	http://www.domain4.tl4/page6.html	SomeServer/2.0	10390	2008-02-01	2008-01-19
00000498.tmp	http://www.domain4.tl4/page7.html	SomeServer/2.0	3794	2008-02-01	2008-01-23
00000499.tmp	http://www.domain4.tl4/page8.html	SomeServer/2.0	4767	2008-02-01	2007-12-05
00000500.tmp	http://www.domain4.tl4/page9.html	SomeServer/2.0	5866	2008-02-01	2008-01-17
00000501.tmp	http://www.domain0.tl0/page0.html	SomeServer/1.0	7236	2008-03-01	2008-02-28
00000502.tmp	http://www.domain0.tl0/page1.html	SomeServer/1.0	7482	2008-03-01	2007-12-14
00000503.tmp	http://www.domain0.tl0/page2.html	SomeServer/1.0	11852	2008-03-01	2007-12-04
00000504.tmp	http://www.domain0.tl0/page3.html	SomeServer/1.0	4749	2008-03-01	2008-02-09
00000505.tmp	http://www.domain0.tl0/page4.html	SomeServer/1.0	14349	2008-03-01	2008-01-17
00000506.tmp	http://www.domain0.tl0/page5.html	SomeServer/1.0	14794	2008-03-01	2008-02-21
00000507.tmp	http://www.domain0.tl0/page6.html	SomeServer/1.0	6784	2008-03-01	2008-01-28
00000508.tmp	http://www.domain0.tl0/page7.html	SomeServer/1.0	6785	2008-03-01	2008-02-15
00000509.tmp	http://www.domain0.tl0/page8.html	SomeServer/1.0	13463	2008-03-01	2008-01-24
00000510.tmp	http://www.domain0.tl0/page9.html	SomeServer/1.0	6624	2008-03-01	2007-12-15
00000511.tmp	http://www.domain1.tl0/page0.html	SomeServer/2.0	3540	2008-03-01	2007-12-07
00000512.tmp	http://www.domain1.tl0/page1.html	SomeServer/2.0	4418	2008-03-01	2007-12-02
00000513.tmp	http://www.domain1.tl0/page2.html	SomeServer/2.0	1551	2008-03-01	2008-01-11
00000514.tmp	http://www.domain1.tl0/page3.html	SomeServer/2.0	5464	2008-03-01	2008-02-06
00000515.tmp	http://www.domain1.tl0/page4.html	SomeServer/2.0	12689	2008-03-01	2008-02-23
00000516.tmp	http://www.domain1.tl0/page5.html	SomeServer/2.0	10993	2008-03-01	2008-02-11
00000517.tmp	http://www.domain1.tl0/page6.html	SomeServer/2.0	10088	2008-03-01	2007-12-10
00000518.tmp	http://www.domain1.tl0/page7.html	SomeServer/2.0	7566	2008-03-01	2008-01-16
00000519.tmp	http://www.domain1.tl0/page8.html	SomeServer/2.0	8876	2008-03-01	2007-12-02
00000520.tmp	http://www.domain1.tl0/page9.html	SomeServer/2.0	4951	2008-03-01	2008-01-10
00000521.tmp	http://www.domain2.tl0/page0.html	SuperServer/3.0	8277	2008-03-01	2007-12-20
00000522.tmp	http://www.domain2.tl0/page1.html	SuperServer/3.0	7247	2008-03-01	2008-01-26
00000523.tmp	http://www.domain2.tl0/page2.html	SuperServer/3.0	14550	2008-03-01	2008-01-24
00000524.tmp	http://www.domain2.tl0/page3.html	SuperServer/3.0	13843	2008-03-01	2008-01-23
00000525.tmp	http://www.domain2.tl0/page4.html	SuperServer/3.0	10581	2008-03-01	2007-12-28
00000526.tmp	http://www.domain2.tl0/page5.html	SuperServer/3.0	8110	2008-03-01	2008-02-07
00000527.tmp	http://www.domain2.tl0/page6.html	SuperServer/3.0	10574	2008-03-01	2008-01-22
00000528.tmp	http://www.domain2.tl0/page7.html	SuperServer/3.0	8706	2008-03-01	2008-02-16
00000529.tmp	http://www.domain2.tl0/page8.html	SuperServer/3.0	9688	2008-03-01	2008-01-12
00000530.tmp	http://www.domain2.tl0/page9.html	SuperServer/3.0	4112	2008-03-01	2007-12-16
00000531.tmp	http://www.domain3.tl0/page0.html	SomeServer/1.0	1249	2008-03-01	2008-02-23
00000532.tmp	http://www.domain3.tl0/page1.html	SomeServer/1.0	13304	2008-03-01	2007-12-21
00000533.tmp	http://www.domain3.tl0/page2.html	SomeServer/1.0	5801	2008-03-01	2008-02-20
00000534.tmp	http://www.domain3.tl0/page3.html	SomeServer/1.0	2024	2008-03-01	2008-02-16
00000535.tmp	http://www.domain3.tl0/page4.html	SomeServer/1.0	3077	2008-03-01	2007-12-15
00000536.tmp	http://www.domain3.tl0/page5.html	SomeServer/1.0	846	2008-03-01	2008-01-04
00000537.tmp	http://www.domain3.tl0/page6.html	SomeServer/1.0	4059	2008-03-01	2008-01-04
